suburb,postcode,lat,lng,n_addresses,level
CARBROOK,4130,-27.675838,153.246547,698,suburb_postcode
LOGANHOLME,4129,-27.682478,153.183675,4363,suburb_postcode
NUNDAH,4012,-27.402341,153.061646,9927,suburb_postcode
DEAGON,4017,-27.32845,153.061358,2304,suburb_postcode
ROBINA,4226,-28.072175,153.393642,13888,suburb_postcode
EMU VALE,4371,-28.224133,152.250429,127,suburb_postcode
INDOOROOPILLY,4068,-27.50074,152.973676,9324,suburb_postcode
LACEYS CREEK,4521,-27.202888,152.742747,149,suburb_postcode
LOWOOD,4311,-27.465667,152.574348,2175,suburb_postcode
MALENY,4552,-26.758868,152.848042,2766,suburb_postcode
ORMEAU,4208,-27.777943,153.26015,7284,suburb_postcode
REDLYNCH,4870,-16.901932,145.694648,4978,suburb_postcode
STAFFORD HEIGHTS,4053,-27.397948,153.009094,3032,suburb_postcode
UNDERWOOD,4119,-27.607961,153.110897,4172,suburb_postcode
EAST TOOWOOMBA,4350,-27.564618,151.967378,3635,suburb_postcode
BRAY PARK,4500,-27.29233,152.966692,4215,suburb_postcode
DALLARNIL,4621,-25.38076,152.046359,190,suburb_postcode
URANGAN,4655,-25.294524,152.8956,8837,suburb_postcode
OAKEY,4401,-27.442266,151.721769,2543,suburb_postcode
CORINDA,4075,-27.542369,152.981521,3130,suburb_postcode
INGHAM,4850,-18.649882,146.161068,3384,suburb_postcode
NORTH IPSWICH,4305,-27.593136,152.761145,2673,suburb_postcode
WEST END,4810,-19.265035,146.792,3095,suburb_postcode
NARANGBA,4504,-27.185245,152.945245,9837,suburb_postcode
DEPOT HILL,4700,-23.391401,150.519379,609,suburb_postcode
GOONDIWINDI,4390,-28.541612,150.307217,3876,suburb_postcode
MACGREGOR,4109,-27.56528,153.071492,2694,suburb_postcode
MERMAID WATERS,4218,-28.046827,153.422951,6979,suburb_postcode
CENTENARY HEIGHTS,4350,-27.586525,151.962356,3361,suburb_postcode
GAILES,4300,-27.610135,152.915203,930,suburb_postcode
KEPERRA,4054,-27.412565,152.954372,3641,suburb_postcode
STUART,4811,-19.344268,146.840827,493,suburb_postcode
MACKAY,4740,-21.145339,149.183531,5052,suburb_postcode
ALPHA,4724,-23.650096,146.63925,753,suburb_postcode
TOOGOOLAWAH,4313,-27.086648,152.374811,838,suburb_postcode
BURNETT HEADS,4670,-24.775701,152.413271,1987,suburb_postcode
CHURCHILL,4305,-27.639896,152.751144,1016,suburb_postcode
BUDERIM,4556,-26.683819,153.062561,17755,suburb_postcode
BARGARA,4670,-24.829683,152.464999,6272,suburb_postcode
MARIAN,4753,-21.150597,148.957967,1739,suburb_postcode
COOROIBAH,4565,-26.358093,152.992253,972,suburb_postcode
ROSEWOOD,4340,-27.636643,152.59376,2232,suburb_postcode
BARDON,4065,-27.459858,152.982957,5115,suburb_postcode
MOOROOKA,4105,-27.534299,153.022146,6598,suburb_postcode
FOREST LAKE,4078,-27.621273,152.963844,9172,suburb_postcode
DARLING HEIGHTS,4350,-27.597982,151.928687,2575,suburb_postcode
EMU PARK,4710,-23.257403,150.821693,1770,suburb_postcode
CAMP HILL,4152,-27.493423,153.076496,6022,suburb_postcode
BUNGALOW,4870,-16.935742,145.759936,2726,suburb_postcode
HOLLAND PARK,4121,-27.518669,153.070579,3982,suburb_postcode
CAPALABA,4157,-27.532785,153.199246,10063,suburb_postcode
MOUNT CROSBY,4306,-27.524606,152.822337,829,suburb_postcode
MOUNT GRAVATT,4122,-27.537068,153.074475,2321,suburb_postcode
SHERWOOD,4075,-27.53235,152.982086,4101,suburb_postcode
ARMSTRONG CREEK,4520,-27.225933,152.809889,153,suburb_postcode
NIRIMBA,4551,-26.819659,153.055983,3536,suburb_postcode
MOUNT LOUISA,4814,-19.274437,146.734498,4227,suburb_postcode
KENMORE HILLS,4069,-27.501362,152.931459,1057,suburb_postcode
MOUNT LOFTY,4350,-27.54756,151.969673,1936,suburb_postcode
WYNNUM,4178,-27.44261,153.170138,8907,suburb_postcode
NORTH MACLEAN,4280,-27.768276,152.993651,694,suburb_postcode
KURABY,4112,-27.606036,153.097077,3193,suburb_postcode
EATONS HILL,4037,-27.338984,152.948859,2719,suburb_postcode
SALISBURY,4107,-27.553096,153.03413,3577,suburb_postcode
JULATTEN,4871,-16.574522,145.365317,567,suburb_postcode
BETHANIA,4205,-27.689478,153.154645,3618,suburb_postcode
BORONIA HEIGHTS,4124,-27.688252,153.021221,3710,suburb_postcode
ANNERLEY,4103,-27.512357,153.032409,7590,suburb_postcode
WONDUNNA,4655,-25.319969,152.859687,1717,suburb_postcode
CLONTARF,4019,-27.247999,153.085553,5078,suburb_postcode
BIGGENDEN,4621,-25.510823,152.043809,590,suburb_postcode
BUDDINA,4575,-26.69861,153.132928,2821,suburb_postcode
CAMIRA,4300,-27.632891,152.922113,2948,suburb_postcode
GORDONVALE,4865,-17.09118,145.773401,3841,suburb_postcode
PORMPURAAW,4892,-14.900591,141.620482,372,suburb_postcode
MISSION RIVER,4874,-12.682611,141.889059,720,suburb_postcode
MOLENDINAR,4214,-27.974012,153.365372,3993,suburb_postcode
SOUTHPORT,4215,-27.971054,153.408198,28525,suburb_postcode
MIDDLE PARK,4074,-27.555584,152.922531,1567,suburb_postcode
ALEXANDRA HEADLAND,4572,-26.670867,153.1055,3851,suburb_postcode
MOUNT MORGAN,4714,-23.644888,150.38931,1915,suburb_postcode
HIGHFIELDS,4352,-27.454753,151.942863,4785,suburb_postcode
KAWANA,4701,-23.340163,150.511167,2502,suburb_postcode
CHAPEL HILL,4069,-27.498878,152.951029,4167,suburb_postcode
NORMAN GARDENS,4701,-23.332664,150.528635,5035,suburb_postcode
LOGANLEA,4131,-27.678025,153.130201,4800,suburb_postcode
HERITAGE PARK,4118,-27.683409,153.056487,1772,suburb_postcode
LABRADOR,4215,-27.946081,153.402719,14009,suburb_postcode
TORQUAY,4655,-25.288156,152.870962,5480,suburb_postcode
KALLANGUR,4503,-27.245332,152.993339,10938,suburb_postcode
CHERMSIDE,4032,-27.386184,153.030586,10362,suburb_postcode
KANGAROO POINT,4169,-27.475811,153.037262,9201,suburb_postcode
HELENSVALE,4212,-27.902966,153.33539,9497,suburb_postcode
KIPPA-RING,4021,-27.224902,153.083884,5145,suburb_postcode
LAIDLEY SOUTH,4341,-27.665491,152.39742,155,suburb_postcode
WHITE ROCK,4306,-27.695341,152.830828,1556,suburb_postcode
MURRUMBA DOWNS,4503,-27.268006,153.013974,5394,suburb_postcode
GRIFFIN,4503,-27.26348,153.026353,6152,suburb_postcode
BRASSALL,4305,-27.588269,152.736232,6707,suburb_postcode
SCARNESS,4655,-25.286525,152.854626,2902,suburb_postcode
ROSEMOUNT,4560,-26.626999,152.995012,980,suburb_postcode
SOUTH TOOWOOMBA,4350,-27.57532,151.952178,3688,suburb_postcode
HORSESHOE LAGOON,4809,-19.571059,147.135108,314,suburb_postcode
NEWSTEAD,4006,-27.451144,153.044406,7756,suburb_postcode
BARRATTA,4809,-19.582726,147.266197,139,suburb_postcode
JACOBS WELL,4208,-27.785286,153.365325,1762,suburb_postcode
FIG TREE POCKET,4069,-27.526368,152.961965,1773,suburb_postcode
HUGHENDEN,4821,-20.844959,144.195265,1522,suburb_postcode
SURFERS PARADISE,4217,-28.001186,153.428953,36178,suburb_postcode
COOMERA,4209,-27.845812,153.334078,9800,suburb_postcode
KULUIN,4558,-26.657376,153.055999,1551,suburb_postcode
